Training: epoch 1 | loss: 0.7307 | accuracy: 78.78
Training: epoch 2 | loss: 0.3552 | accuracy: 89.53
Training: epoch 3 | loss: 0.3021 | accuracy: 91.12
Training: epoch 4 | loss: 0.2730 | accuracy: 91.91
Training: epoch 5 | loss: 0.2565 | accuracy: 92.42
Training: epoch 6 | loss: 0.2473 | accuracy: 92.70
Training: epoch 7 | loss: 0.2420 | accuracy: 92.92
Training: epoch 8 | loss: 0.2347 | accuracy: 93.17
Training: epoch 9 | loss: 0.2297 | accuracy: 93.28
Training: epoch 10 | loss: 0.2307 | accuracy: 93.17
Training: epoch 1 | loss: 0.7307 | accuracy: 78.78
Training: epoch 1 | loss: 0.7592 | accuracy: 78.15
Training: epoch 1 | loss: 0.7821 | accuracy: 77.36
Training: epoch 2 | loss: 0.3763 | accuracy: 88.85
Training: epoch 2 | loss: 0.3552 | accuracy: 89.53
Training: epoch 2 | loss: 0.3744 | accuracy: 88.82
Training: epoch 3 | loss: 0.3200 | accuracy: 90.63
Training: epoch 3 | loss: 0.3021 | accuracy: 91.12
Training: epoch 3 | loss: 0.3173 | accuracy: 90.58
Training: epoch 4 | loss: 0.2730 | accuracy: 91.91
Training: epoch 4 | loss: 0.2923 | accuracy: 91.44
Training: epoch 4 | loss: 0.2914 | accuracy: 91.42
Training: epoch 5 | loss: 0.2565 | accuracy: 92.42
Training: epoch 5 | loss: 0.2774 | accuracy: 91.94
Training: epoch 5 | loss: 0.2727 | accuracy: 92.06
Training: epoch 6 | loss: 0.2473 | accuracy: 92.70
Training: epoch 6 | loss: 0.2661 | accuracy: 92.24
Training: epoch 6 | loss: 0.2578 | accuracy: 92.48
Training: epoch 7 | loss: 0.2420 | accuracy: 92.92
Training: epoch 7 | loss: 0.2571 | accuracy: 92.49
Training: epoch 7 | loss: 0.2513 | accuracy: 92.67
Training: epoch 8 | loss: 0.2347 | accuracy: 93.17
Training: epoch 8 | loss: 0.2561 | accuracy: 92.41
Training: epoch 8 | loss: 0.2511 | accuracy: 92.63
Training: epoch 9 | loss: 0.2297 | accuracy: 93.28
Training: epoch 9 | loss: 0.2523 | accuracy: 92.55
Training: epoch 9 | loss: 0.2424 | accuracy: 93.00
Training: epoch 10 | loss: 0.2307 | accuracy: 93.17
Training: epoch 10 | loss: 0.2493 | accuracy: 92.68
Training: epoch 10 | loss: 0.2445 | accuracy: 92.85
